Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
5513,680.0,261.89605037647556,22.0,134.61420791776297,91.0,406.8130001341142,237.0,383.5572099045153,229.0,261.6963408223436,86.0,195.4767587225821,14.0,50.6475652991824,1.0,38.51412505536405
5515,310.0,98.32124404918599,13.0,75.5945804500785,52.0,230.25150549061283,121.0,117.69855551772774,106.0,105.59241328472098,14.0,32.70798775786744,4.0,13.551053594416967,,
5554,550.0,148.11264100996664,20.0,87.95461541844408,77.0,232.48792270531402,182.0,208.5027895840255,199.0,151.11819873182216,64.0,106.45552986576622,8.0,21.98587407590623,,
5558,203.0,92.02759921300536,4.0,30.639601685178093,27.0,147.04280579457574,53.0,111.68004720062372,80.0,101.80837119332138,31.0,77.95408253074157,8.0,34.237781391765814,0.0,0.0
5562,1150.0,187.2546353663759,57.0,167.33208078910286,139.0,288.999313886521,356.0,274.46475517898034,425.0,198.92999068539572,141.0,121.32789509009241,29.0,40.04861072750373,3.0,48.84903531296763
5566,755.0,168.44406764535273,39.0,144.20943647389439,117.0,298.37804753646844,251.0,245.3424041600688,267.0,167.9963758085219,66.0,89.24104547236908,15.0,32.07252667365135,,
5570,497.0,178.87993089547942,26.0,162.26674155900892,71.0,296.4261857047428,140.0,229.4630564479119,185.0,189.24475996603823,60.0,124.6856881610939,14.0,45.19774011299435,1.0,35.99193780593147
5711,724.0,216.63998563712804,18.0,90.56603773584905,87.0,310.6809984644502,266.0,299.2092327420389,259.0,234.29160711378069,84.0,168.18837097549255,10.0,27.081189405838703,0.0,0.0
5754,796.0,218.11924217264303,53.0,241.46885962914027,88.0,276.88628783588194,255.0,301.2332845059774,304.0,233.69155789247114,77.0,132.9626495829808,19.0,49.27641475180248,0.0,0.0
5758,434.0,173.1995626112428,20.0,141.1333004022299,74.0,352.4648725887116,133.0,245.9546925566343,143.0,163.0372819518869,57.0,132.00250110002085,7.0,22.991525980424356,,
5762,104.0,74.15276896421416,4.0,54.08328826392645,10.0,85.98452278589853,29.0,96.70212411217446,37.0,76.66169401624398,19.0,72.90587467863858,5.0,29.566554313760275,0.0,0.0
5766,546.0,157.1159723061517,20.0,97.14868606402098,76.0,246.4252131902338,192.0,251.00992273600815,187.0,161.154104689843,56.0,91.94496437132631,15.0,35.169163677287756,0.0,0.0
5770,489.0,157.53409211717442,17.0,94.32915325713017,79.0,295.31606295091774,138.0,201.07238605898124,172.0,162.56013307248102,54.0,99.8834692858332,29.0,78.09554586093607,0.0,0.0
5774,535.0,173.79214459506431,22.0,118.32410046791803,75.0,285.3121314718302,186.0,228.1424786576391,193.0,185.46813888007995,50.0,102.60619741432383,9.0,31.424581005586592,,
5911,652.0,178.3433218358421,29.0,151.0652706152003,107.0,416.0833722196298,215.0,226.6330757797759,219.0,182.63850086315455,57.0,90.55380802592698,23.0,53.54814676848575,2.0,54.70654044044236
5913,1223.0,207.9048023799405,49.0,141.80292287657358,126.0,273.54435326299335,431.0,286.0859983803948,450.0,226.34334776900906,141.0,149.5450013787837,18.0,28.17783343769568,8.0,135.99660008499788
5914,527.0,279.300001059962,27.0,236.36522804867374,93.0,588.0121396054628,166.0,382.90314395774226,204.0,322.11713063112853,30.0,93.92023041763196,6.0,26.291573550677008,1.0,52.998102667924485
5915,460.0,255.67487049511993,20.0,192.17834150091284,70.0,451.70032909595403,142.0,329.48929159802304,160.0,261.3183510812047,48.0,159.37842414583125,18.0,91.97751660705161,2.0,111.16298717179127
5916,457.0,292.1079712877679,23.0,261.6609783845279,56.0,457.96532548249917,127.0,346.18110450853186,143.0,265.47851109254617,45.0,167.08127575836335,7.0,39.003733214464816,56.0,3579.44122365755
5954,570.0,175.76535017391518,30.0,163.5175389126368,97.0,378.447850351412,166.0,221.66366120147183,201.0,180.37206606718726,64.0,118.15304769376799,12.0,32.772653087031905,,
5958,411.0,157.78865534120357,7.0,47.5025225190501,32.0,155.43894215789226,140.0,232.7501636657532,180.0,201.1042611440049,40.0,91.93915144183268,12.0,40.80253500532527,0.0,0.0
5962,964.0,233.91245268368436,29.0,124.38241533025668,120.0,368.4117349792869,275.0,288.95952101728676,392.0,276.8070776206228,112.0,162.7049920437538,36.0,77.36610918309302,,
5966,251.0,187.3763577320742,3.0,39.61965134706814,24.0,216.11886537595677,65.0,216.03296995479926,106.0,220.5025794641371,47.0,205.38367418283516,6.0,42.15259238443164,0.0,0.0
5970,371.0,133.96210064128488,19.0,120.56602576305603,45.0,206.4977973568282,129.0,193.14557786461842,125.0,134.65039371775123,42.0,86.687306501548,11.0,35.12020688994604,,
5974,369.0,122.27247875142899,33.0,194.89723600283486,48.0,191.12084411706152,122.0,183.3483618875864,119.0,111.89573949919604,44.0,83.38544923910777,3.0,8.802300334487413,,
5978,961.0,243.35829380765833,54.0,248.63023159445646,118.0,376.2875091680219,321.0,383.8381422712217,353.0,255.95661064141422,90.0,123.04999931638889,25.0,53.04589530862102,0.0,0.0
6411,202.0,126.34633908355121,4.0,42.877050058955945,28.0,225.62449637389201,83.0,159.41305266392655,71.0,142.2902721551966,14.0,64.94711449248469,2.0,13.680826321909842,0.0,0.0
6412,1327.0,173.83216746574445,31.0,62.68197994176642,170.0,276.8008336589814,415.0,193.33168729647764,540.0,192.41390368615154,140.0,144.1678938100485,29.0,48.25532056508644,2.0,26.199271660247845
6413,389.0,298.5876573533927,19.0,212.05357142857142,38.0,328.3221012614481,135.0,377.28466826896204,149.0,326.8045533305551,40.0,227.75152308831065,8.0,74.01924500370096,0.0,0.0
